name,description,location,difficulty,distance,duration,elevation,trail_type,features,dog_friendly,permits_required,best_season,water_sources,parking_info,status,featured,created_by,address,city,state,country,postal_code,latitude,longitude
Granite Lake and Maggie's Peaks,"Most popular and challenging trail in South Lake Tahoe. Steep climb to peaks at around 8,500 feet elevation with spectacular alpine views.",Lake Tahoe,hard,6.0,3.5,2000,out_and_back,"alpine lake,summit views,wildflowers",false,"Desolation Wilderness permit required for overnight; day use self-issue",summer|fall,false,"Bayview Campground trailhead off Hwy 89. Parking limited—arrive before 8am on summer weekends.",approved,true,,,South Lake Tahoe,CA,USA,96150,38.9500,-120.1500
Tahoe Meadows Interpretive Loop,"Gentle family-friendly loop through beautiful subalpine meadows. Wildflower displays in summer, educational interpretive signs along the trail.",Lake Tahoe,easy,2.4,1,100,loop,"wildflowers,meadows,family friendly",true,,summer|fall,false,"Large free parking area off Hwy 431 (Mount Rose Hwy) near the summit. Open when road is clear of snow.",approved,false,,,Incline Village,NV,USA,89451,39.3000,-119.9000
Fallen Leaf Lake Trail,"Easy 2-mile hike along the scenic shores of Fallen Leaf Lake. Flat, well-maintained trail with serene lake views through pine forest.",Lake Tahoe,easy,2.0,1,50,out_and_back,"lake views,forest,family friendly",true,,spring|summer|fall,false,"Small gravel lot at the end of Fallen Leaf Lake Road. Street parking available along the road.",approved,false,,,South Lake Tahoe,CA,USA,96150,38.8900,-120.0600
Auburn State Recreation Area - Confluence Trail,"Popular trail in Auburn SRA leading to the confluence of the North and Middle Forks of the American River. Moderate difficulty with river views.",Auburn,moderate,4.5,2.5,500,out_and_back,"river views,swimming,wildlife",true,,spring|fall|winter,true,"Parking at Auburn SRA trailhead off Cool-Foresthill Rd. Day-use fee. Multiple lots along Hwy 49.",approved,false,,,Auburn,CA,USA,95602,38.9000,-121.0500
Cronan Ranch Loop,"Scenic loop trail through oak woodlands and along the South Fork American River. Part of Cronan Ranch Regional Trails Park with historic ranch views.",Pilot Hill,moderate,6.0,2.5,640,loop,"river views,oak woodland,wildflowers",true,,fall|winter|spring,false,"Free parking at the Cronan Ranch trailhead on Salmon Falls Road off Hwy 49.",approved,false,,,Pilot Hill,CA,USA,95664,38.8300,-121.0000
Miwok Trail - Lake Natoma,"Peaceful singletrack trail on the south side of Lake Natoma through oak woodland and native grassland. Great wildlife viewing and quieter than the main parkway trail.",Folsom,easy,5.5,2,150,loop,"lake views,wildlife,oak woodland",true,,fall|winter|spring,false,"Parking at Sailor Bar County Park off Illinois Avenue in Orangevale. Free lot.",approved,false,,,Orangevale,CA,USA,95662,38.6600,-121.2000
Granite Chief Trail,"Challenging high-alpine trail from Squaw Valley to the Granite Chief Wilderness summit with panoramic views of Tahoe and Desolation Wilderness.",Lake Tahoe,hard,11.0,5.5,2600,out_and_back,"summit views,wildflowers,alpine wilderness",false,"Wilderness permit required for Granite Chief Wilderness (free self-issue)",summer|fall,true,"Trailhead at Squaw Valley Ski Resort base area. Parking in resort lots—day-use fee on weekends.",approved,false,,,Olympic Valley,CA,USA,96146,39.1960,-120.2350
Shirley Canyon Trail,"Family-friendly canyon trail in Squaw Valley with cascading waterfalls and granite boulders. A local favorite for summer afternoon hikes.",Lake Tahoe,moderate,3.8,2,600,out_and_back,"waterfall,granite,family friendly",true,,summer|fall,true,"Squaw Valley base area parking off Olympic Valley Rd. Large lot—day use fee on weekends.",approved,false,,,Olympic Valley,CA,USA,96146,39.1960,-120.2350
Euchre Bar Trail,"Remote and rugged hike dropping steeply to the North Fork American River. Features swimming holes and dramatic canyon scenery. Best for experienced hikers.",Foresthill,hard,7.2,4,1800,out_and_back,"river access,swimming,canyon views",false,,spring|fall,true,"Small dirt pullout on Hwy 49 near the Euchre Bar bridge. Very limited—4-6 cars only.",approved,false,,,Foresthill,CA,USA,95631,39.1400,-120.8000
Loch Leven Lakes Trail,"Gorgeous Sierra Nevada trail passing through forest and granite to three serene alpine lakes. Popular with families and backpackers.",Soda Springs,moderate,7.5,4,1000,out_and_back,"alpine lake,granite,wildflowers",true,,summer|fall,true,"Trailhead at Loch Leven parking area off I-80 at the Big Bend exit near Soda Springs.",approved,true,,,Soda Springs,CA,USA,95728,39.3200,-120.3600
